,comune,anno,valore,lat,lon
199,NOMI,2023,0.0,NaN,NaN
200,NOVALEDO,2022,0.009082652134423252,NaN,NaN
201,NOVALEDO,2023,0.013333333333333334,NaN,NaN
202,OSPEDALETTO,2022,0.007643312101910828,NaN,NaN
203,OSPEDALETTO,2023,0.01256281407035176,NaN,NaN
204,OSSANA,2022,1.6897810218978102,NaN,NaN
205,OSSANA,2023,1.7689486552567237,NaN,NaN
206,PALÙ DEL FERSINA-PALAI EN BERSNTOL,2022,0.0,NaN,NaN
207,PALÙ DEL FERSINA-PALAI EN BERSNTOL,2023,0.0,NaN,NaN
208,PANCHIÀ,2022,0.5241038318912238,NaN,NaN
209,PANCHIÀ,2023,0.5443349753694581,NaN,NaN
210,PEIO,2022,1.7175824175824175,NaN,NaN
211,PEIO,2023,1.7581088510170424,NaN,NaN
212,PELLIZZANO,2022,0.6994818652849741,NaN,NaN
213,PELLIZZANO,2023,0.7962025316455696,NaN,NaN
214,PELUGO,2022,0.5126262626262627,NaN,NaN
215,PELUGO,2023,0.4950980392156863,NaN,NaN
216,PERGINE VALSUGANA,2022,0.09831029185867896,NaN,NaN
217,PERGINE VALSUGANA,2023,0.10837187789084181,NaN,NaN
218,PIEVE DI BONO-PREZZO,2022,0.13585434173669467,NaN,NaN
219,PIEVE DI BONO-PREZZO,2023,0.31648199445983377,NaN,NaN
220,PIEVE TESINO,2022,0.4785276073619632,NaN,NaN
221,PIEVE TESINO,2023,0.49228395061728397,NaN,NaN
222,PINZOLO,2022,3.878471087879778,NaN,NaN
223,PINZOLO,2023,4.047978968123562,NaN,NaN
224,POMAROLO,2022,0.03013029315960912,NaN,NaN
225,POMAROLO,2023,0.032706459525756335,NaN,NaN
226,PORTE DI RENDENA,2022,0.335016835016835,NaN,NaN
227,PORTE DI RENDENA,2023,0.3646067415730337,NaN,NaN
228,PREDAIA,2022,0.24196625091709464,NaN,NaN
229,PREDAIA,2023,0.2531053631448195,NaN,NaN
230,PREDAZZO,2022,0.8227454464682363,NaN,NaN
231,PREDAZZO,2023,0.374167776298269,NaN,NaN
232,PRIMIERO SAN MARTINO DI CASTROZZA,2022,1.7921651871864146,NaN,NaN
233,PRIMIERO SAN MARTINO DI CASTROZZA,2023,1.8864833235810416,NaN,NaN
234,RABBI,2022,0.862453531598513,NaN,NaN
235,RABBI,2023,0.8929889298892989,NaN,NaN
236,REVÒ,2022,0.0,NaN,NaN
237,REVÒ,2023,0.0,NaN,NaN
238,RIVA DEL GARDA,2022,0.6769248111825048,NaN,NaN
239,RIVA DEL GARDA,2023,0.6885972292332716,NaN,NaN
240,ROMALLO,2022,0.0,NaN,NaN
241,ROMALLO,2023,0.0,NaN,NaN
242,ROMENO,2022,0.2720114531138153,NaN,NaN
243,ROMENO,2023,0.2665289256198347,NaN,NaN
244,RONCEGNO TERME,2022,0.22923816060398078,NaN,NaN
245,RONCEGNO TERME,2023,0.25170532060027284,NaN,NaN
246,RONCHI VALSUGANA,2022,0.13876651982378854,NaN,NaN
247,RONCHI VALSUGANA,2023,0.14699331848552338,NaN,NaN
248,RONZO-CHIENIS,2022,0.14919354838709678,NaN,NaN
249,RONZO-CHIENIS,2023,0.17535070140280562,NaN,NaN
250,RONZONE,2022,0.6361655773420479,NaN,NaN
251,RONZONE,2023,0.7970401691331924,NaN,NaN
252,ROVERÈ DELLA LUNA,2022,0.026251526251526252,NaN,NaN
253,ROVERÈ DELLA LUNA,2023,0.02894088669950739,NaN,NaN
254,ROVERETO,2022,0.03596036815369914,NaN,NaN
255,ROVERETO,2023,0.03754821902710285,NaN,NaN
256,RUFFRÈ-MENDOLA,2022,0.8266978922716628,NaN,NaN
257,RUFFRÈ-MENDOLA,2023,0.8859857482185273,NaN,NaN
258,RUMO,2022,0.3558897243107769,NaN,NaN
259,RUMO,2023,0.48930817610062893,NaN,NaN
260,SAGRON MIS,2022,0.7359550561797753,NaN,NaN
261,SAGRON MIS,2023,0.8956043956043956,NaN,NaN
262,SAMONE,2022,0.0661764705882353,NaN,NaN
263,SAMONE,2023,0.05688073394495413,NaN,NaN
264,SAN GIOVANNI DI FASSA-SEN JAN,2022,0.0,NaN,NaN
265,SAN GIOVANNI DI FASSA-SEN JAN,2023,0.0,NaN,NaN
266,SAN LORENZO DORSINO,2022,0.6819338422391857,NaN,NaN
267,SAN LORENZO DORSINO,2023,0.7064045656309448,NaN,NaN
268,SAN MICHELE ALL'ADIGE,2022,0.04214463840399003,NaN,NaN
