anno,comune,alberghieri strutture,alberghieri posti_letto,extra alb. Strutture,extra alb. Posti_letto,tot convenzionali strutture,tot convenzionali posti_letto,all. privati numero,all. privati posti_letto,all.disposizione numero,all. disposizione posti_letto,COMPLESSIVO numero,COMPLESSIVO posti_letto
2019,Sanzeno,1,39,4,75,5,114,18,75,31,155,54,344
2019,Sarnonico,5,334,2,470,7,804,46,184,125,535,178,1523
2019,Scurelle,1,20,11,176,12,196,0,0,70,287,82,483
2019,Segonzano,1,75,7,158,8,233,4,13,118,459,130,705
2019,Sella Giudicarie,12,553,9,308,21,861,222,909,544,2164,787,3934
2019,Sfruz,1,25,3,86,4,111,37,168,199,904,240,1183
2019,Soraga di Fassa0Soraga,18,907,8,187,26,1094,134,610,177,770,337,2474
2019,Sover,2,59,2,40,4,99,18,64,128,520,150,683
2019,Spiazzo,4,108,7,282,11,390,345,162,526,2104,882,4114
2019,Spormaggiore,3,58,5,57,8,115,30,125,68,302,106,542
2019,Sporminore,2,39,2,25,4,64,7,30,12,53,23,147
2019,Stenico,3,365,14,661,17,1026,90,265,270,780,377,2071
2019,Storo,2,101,4,93,6,194,32,110,197,480,235,784
2019,Strembo,1,23,2,59,3,82,406,2842,319,2604,728,5528
2019,Telve,2,58,12,324,14,382,27,140,207,101,248,1532
2019,Telve di Sopra,0,0,1,12,1,12,0,0,50,205,51,217
2019,Tenna,3,153,0,0,3,153,94,440,102,498,199,1091
2019,Tenno,7,272,13,444,20,716,66,321,285,1266,371,2303
2019,Terragnolo,0,0,1,12,1,12,24,110,196,805,221,927
2019,Terre d'Adige,0,0,3,17,3,17,0,0,0,0,3,17
2019,Terzolas,1,93,3,114,4,207,25,95,40,144,69,446
2019,Tesero,13,1068,15,509,28,1577,182,819,361,1627,571,4023
2019,Tione di Trento,3,55,7,194,10,249,23,110,159,840,192,1199
2019,Ton,0,0,6,61,6,61,0,0,0,0,6,61
2019,Torcegno,1,46,3,279,4,325,13,43,99,383,116,751
2019,Trambileno,0,0,1,85,1,85,0,0,91,360,92,445
2019,Tre Ville,14,796,10,483,24,1279,83,360,816,4405,923,6044
2019,Trento,37,3661,159,2761,196,6422,531,3001,212,1119,939,10542
2019,Valdaone,4,81,27,993,31,1074,50,250,147,768,228,2092
2019,Valfloriana,0,0,4,62,4,62,16,72,64,268,84,402
2019,Vallarsa,5,143,5,96,10,239,115,735,575,4025,700,4999
2019,Vallelaghi,7,231,9,625,16,856,30,169,146,674,192,1699
2019,Varena,6,276,6,79,12,355,78,405,192,1207,282,1967
2019,Vermiglio,28,2067,21,926,49,2993,154,559,834,2918,1037,647
2019,Vignola0Falesina,3,109,2,17,5,126,1,40,127,363,133,529
2019,Villa Lagarina,1,23,9,224,10,247,26,85,241,109,277,1422
2019,Ville d'Anaunia,4,94,14,153,18,247,34,102,28,109,80,458
2019,Volano,0,0,4,28,4,28,0,0,0,0,4,28
2019,Ziano di Fiemme,8,568,6,52,14,620,222,1055,413,1875,649,355
2019,Provincia,1482,92564,1897,79584,3379,172148,25231,114975,44956,199726,73566,486849
2020,Ala,5,146,16,669,21,815,75,340,100,440,196,1595
2020,Albiano,0,0,0,0,0,0,13,50,12,44,25,94
2020,Aldeno,0,0,1,5,1,5,0,0,3,10,4,15
2020,Altavalle,0,0,7,96,7,96,25,103,153,597,185,796
2020,Altopiano della Vigolana,9,373,11,134,20,507,219,804,373,1441,612,2752
2020,Amblar0Don,1,25,4,52,5,77,48,210,147,672,200,959
2020,Andalo,61,4643,12,550,73,5193,458,1761,375,1829,906,8783
2020,Arco,18,126,112,5469,130,6729,285,1119,228,793,643,8641
2020,Avio,2,68,7,181,9,249,1,4,10,40,20,293
2020,Baselga di Pinè,16,747,11,510,27,1257,557,2242,813,3613,1397,7112
2020,Bedollo,4,258,5,575,9,833,80,477,111,634,200,1944
2020,Besenello,0,0,2,15,2,15,0,0,0,0,2,15
2020,Bieno,1,25,3,49,4,74,128,485,239,1035,371,1594
2020,Bleggio Superiore,2,27,9,110,11,137,42,168,291,1164,344,1469
2020,Bocenago,1,30,1,4,2,34,77,308,283,1132,362,1474
2020,Bondone,1,19,2,248,3,267,8,30,86,333,97,630
2020,Borgo Chiese,4,126,5,76,9,202,46,256,192,897,247,1355
2020,Borgo d'Anaunia,11,652,16,395,27,1047,231,1066,409,2144,667,4257
2020,Borgo Lares,1,25,1,82,2,107,44,169,35,122,81,398
2020,Borgo Valsugana,1,19,15,457,16,476,5,35,200,998,221,1509
2020,Brentonico,11,747,16,1673,27,242,476,2108,922,3867,1425,8395
2020,Bresimo,0,0,2,26,2,26,9,31,13,61,24,118
2020,Caderzone Terme,4,188,7,196,11,384,142,822,440,2178,593,3384
2020,Calceranica al Lago,4,125,12,3677,16,3802,137,562,152,663,305,5027
2020,Caldes,2,63,6,112,8,175,29,109,74,261,111,545
2020,Caldonazzo,6,252,7,1502,13,1754,140,533,203,591,356,2878
2020,Calliano,1,83,1,22,2,105,0,0,20,49,22,154
2020,Campitello di Fassa0Ciampedel,36,2332,27,1109,63,3441,254,113,430,1952,747,6523
2020,Campodenno,0,0,5,47,5,47,2,14,46,154,53,215
2020,Canal San Bovo,4,104,6,82,10,186,200,803,544,232,754,3309
2020,Canazei0Ćianacëi,83,464,81,2354,164,6994,478,2176,943,4243,1585,13413
2020,Capriana,1,76,2,20,3,96,66,252,62,240,131,588
2020,Carisolo,8,392,8,443,16,835,438,212,1208,572,1662,8675
