,comune,anno,valore,valore_letti,lat,lon
126,CALDES,2020,0.7837837837837838,0.38380281690140844,NaN,NaN
127,CALDES,2021,0.7631578947368421,0.3771626297577855,NaN,NaN
128,CALDES,2022,0.5,0.22413793103448276,NaN,NaN
129,CALDES,2023,0.625,0.3333333333333333,NaN,NaN
130,CALDONAZZO,2019,0.9090909090909091,0.23163841807909605,NaN,NaN
131,CALDONAZZO,2020,0.9150326797385621,0.23305640577175338,NaN,NaN
132,CALDONAZZO,2021,0.9150326797385621,0.23305640577175338,NaN,NaN
133,CALDONAZZO,2022,0.765625,0.11027944111776447,NaN,NaN
134,CALDONAZZO,2023,0.7746478873239436,0.11326097215667767,NaN,NaN
135,CALLIANO,2019,0.0,0.0,NaN,NaN
136,CALLIANO,2020,0.0,0.0,NaN,NaN
137,CALLIANO,2021,0.0,0.0,NaN,NaN
138,CALLIANO,2022,0.7142857142857143,0.10256410256410256,NaN,NaN
139,CALLIANO,2023,0.7142857142857143,0.10256410256410256,NaN,NaN
140,CAMPITELLO DI FASSA-CIAMPEDEL,2019,0.7987421383647799,0.03140633685380767,NaN,NaN
141,CAMPITELLO DI FASSA-CIAMPEDEL,2020,0.8012618296529969,0.031795160382667415,NaN,NaN
142,CAMPITELLO DI FASSA-CIAMPEDEL,2021,0.8063492063492064,0.03202947845804989,NaN,NaN
143,CAMPITELLO DI FASSA-CIAMPEDEL,2022,0.7869415807560137,0.031487208321619345,NaN,NaN
144,CAMPITELLO DI FASSA-CIAMPEDEL,2023,0.7875816993464052,0.2538893690579084,NaN,NaN
145,CAMPODENNO,2019,0.0,0.0,NaN,NaN
146,CAMPODENNO,2020,0.2857142857142857,0.22950819672131148,NaN,NaN
147,CAMPODENNO,2021,0.25,0.16279069767441862,NaN,NaN
148,CAMPODENNO,2022,0.4166666666666667,0.22330097087378642,NaN,NaN
149,CAMPODENNO,2023,0.5,0.3394495412844037,NaN,NaN
150,CANAL SAN BOVO,2019,0.9523809523809523,0.7888015717092338,NaN,NaN
151,CANAL SAN BOVO,2020,0.9523809523809523,0.8119312436804853,NaN,NaN
152,CANAL SAN BOVO,2021,0.9523809523809523,0.8119312436804853,NaN,NaN
153,CANAL SAN BOVO,2022,0.9065420560747663,0.6804123711340206,NaN,NaN
154,CANAL SAN BOVO,2023,0.9047619047619048,0.673469387755102,NaN,NaN
155,CANAZEI-ĆIANACËI,2019,0.7492163009404389,0.23471038722899365,NaN,NaN
156,CANAZEI-ĆIANACËI,2020,0.7445482866043613,0.23729552889858233,NaN,NaN
157,CANAZEI-ĆIANACËI,2021,0.7410852713178294,0.23420514476374987,NaN,NaN
158,CANAZEI-ĆIANACËI,2022,0.6961325966850829,0.20237961611853184,NaN,NaN
159,CANAZEI-ĆIANACËI,2023,0.6982142857142857,0.20658317632716391,NaN,NaN
160,CAPRIANA,2019,0.9705882352941176,0.7368421052631579,NaN,NaN
161,CAPRIANA,2020,0.9565217391304348,0.7241379310344828,NaN,NaN
162,CAPRIANA,2021,0.9428571428571428,0.7138810198300283,NaN,NaN
163,CAPRIANA,2022,0.42857142857142855,0.12173913043478261,NaN,NaN
164,CAPRIANA,2023,0.5555555555555556,0.2047244094488189,NaN,NaN
165,CARANO,2019,0.9230769230769231,0.41029900332225916,NaN,NaN
166,CARANO,2020,0.0,0.0,NaN,NaN
167,CARANO,2021,0.0,0.0,NaN,NaN
168,CARANO,2022,0.0,0.0,NaN,NaN
169,CARANO,2023,0.0,0.0,NaN,NaN
170,CARISOLO,2019,0.9668874172185431,0.21115537848605578,NaN,NaN
171,CARISOLO,2020,0.9647577092511013,0.20248328557784145,NaN,NaN
172,CARISOLO,2021,0.9668874172185431,0.20267686424474188,NaN,NaN
173,CARISOLO,2022,0.9147727272727273,0.4826869806094183,NaN,NaN
174,CARISOLO,2023,0.9162303664921466,0.49276315789473685,NaN,NaN
175,CARZANO,2019,0.25,0.15384615384615385,NaN,NaN
176,CARZANO,2020,0.25,0.15384615384615385,NaN,NaN
177,CARZANO,2021,0.2,0.11764705882352941,NaN,NaN
178,CARZANO,2022,0.0,0.0,NaN,NaN
179,CARZANO,2023,0.0,0.0,NaN,NaN
180,CASTEL CONDINO,2019,0.9454545454545454,0.7461139896373057,NaN,NaN
181,CASTEL CONDINO,2020,0.9629629629629629,0.8571428571428571,NaN,NaN
